version,publishedtime,url,length of content,md5
version1.0,22/01/2020 12:57,http://www.cbc.ca/1.5435286,3839,C1DD5E8F2689C9E4A3FF51254F943E7F
version1.0,22/01/2020 10:50,https://www.cbc.ca/news/health/coronavirus-china-canada-questions-1.5433986,11325,42A2F65C91832CA8CE89F3A2048CA633
version1.0,30/03/2020 9:51,https://www.bloomberg.com/news/articles/2020-02-08/coronavirus-death-toll-rises-to-805-passing-sars-virus-update,539,23DD6F2A2CDFAB359FF4BC6546E9B094
version1.0,25/03/2020 14:57,https://www.cbc.ca/news/world/prince-charles-coronavirus-test-positive-1.5509194,5843,238D3DD63382A3094FDF5B076646A6F9
version1.0,13/02/2020 21:04,https://www.cbc.ca/news/canada/toronto/coronavirus-1.5462897,10360,BEEBEA27FA1BAE6D563593F091E44993
version1.0,27/03/2020 16:11,https://www.cbc.ca/news/world/britain-pm-johnson-covid-19-1.5512020,7633,105BC25FB1752872CCE9FD77ED4524B0
version1.0,06/02/2020 16:35,https://www.cbc.ca/news/politics/china-outbreak-exodus-five-things-1.5453725,10048,55448343674A89F0B8D1A9D14694550D
version1.0,26/02/2020 15:56,https://www.cbc.ca/news/business/coronavirus-economy-canada-1.5458155,11791,07187C7EE9027AC133140897E081CD57
version1.0,12/02/2020 2:20,https://www.cbc.ca/news/world/japan-confirms-39-new-coronavirus-cases-174-total-on-cruise-ship-1.5460576,5233,654BFD3DA1F8BEBB0E9907D3BA340DE5
version1.0,26/03/2020 8:57,https://www.cbc.ca/news/canada/coronavirus-covid19-march25-canada-world-1.5508177,29002,461EADEB14F31361F3C4A4CC9B29EC4A
version1.0,03/02/2020 15:15,https://www.cbc.ca/sports/olympics/shinzo-abe-coronavirus-tokyo-olympics-concerns-1.5449715,6577,59E8A2BE8E997D51F5BC3B7428773F36
version1.0,01/03/2020 17:36,https://www.cbc.ca/news/business/coronavirus-travel-insurance-norweigan-cruise-air-canada-1.5481147,10901,C8ABD66D80934859C87F949C66043288
version1.0,27/03/2020 2:13,https://www.cbc.ca/news/world/senate-coronavirus-relief-bill-1.5510475,9809,7B2F2A4D0F6F9260745ED92D098B04EA
version1.0,04/03/2020 19:05,https://www.cbc.ca/news/business/bank-of-canada-interest-rate-march-1.5485031,6540,A68A9AB6112F8E35D034DAE6608E7BDD
version1.0,28/03/2020 11:29,https://www.cbc.ca/news/canada/coronavirus-covid19-canada-world-march27-1.5511991,28742,0021E0D32D1559FC42BC3DE378545491
version1.0,01/03/2020 20:41,https://www.cbc.ca/news/canada/calgary/ceraweek-coronavirus-houston-calgary-1.5481691,6768,7D21332BE4353571446F3CF77CAC368D
version1.0,23/03/2020 11:03,https://www.cbc.ca/news/world/keith-boag-coronavirus-moral-character-1.5505963,13011,DAA863E70BC85BBB267E05643C1C67A7
version2.0,30/03/2020 9:51,https://www.cbc.ca/news/politics/repatriating-canadians-from-china-amid-coronavirus-outbreak-sunday-scrum-1.5449388,4196,3ED32C1B403EAAE00348AAEC2A99808F
version1.0,07/02/2020 9:00,https://www.cbc.ca/news/business/coffee-coronavirus-business-1.5453166,7365,8EB2DAAF94C67EE11117F267A7EAA912
version1.0,25/03/2020 20:52,https://www.cbc.ca/news/world/us-states-coronavirus-1.5509241,13136,FEB30544BC6B60DC543BD27401E2C772
version1.0,21/02/2020 22:46,https://www.cbc.ca/news/canada/toronto/cruises-cancelled-coronavirus-1.5472077,6287,5E6806E531F710FFD5A23FC4630225D3
version1.0,25/03/2020 19:28,https://www.cbc.ca/news/world/congress-aid-coronavirus-1.5509161,10836,8A51C582FBFD0388151EE383DC39BADF
version1.0,21/02/2020 22:22,https://www.cbc.ca/news/canada/toronto/toronto-coronavirus-cruise-1.5472100,7803,CD66BF141EF5DE5082FF07F65EB32615
version2.0,30/03/2020 9:52,https://www.cbc.ca/news/world/china-completes-new-hospital-for-coronavirus-cases-in-record-time-1.5449699,4073,6F55C51F683CDA421AF7E6FC54F8FFFC
version1.0,11/03/2020 14:22,https://www.cbc.ca/news/world/britain-budget-sunak-1.5493461,7886,7BB8F12C1160A5EF69ED44996DE34FB4
version1.0,13/02/2020 1:13,https://www.cbc.ca/news/world/china-coronavirus-who-feb-12-1.5460701,13121,F1AE12E01D75A6BD22FD1131A21BCA31
version1.0,12/02/2020 23:01,https://www.cbc.ca/news/health/coronavirus-need-to-know-1.5454584,9217,4CBFDE212F857414A7D4DC16695D7F8A
version1.0,12/02/2020 23:03,https://www.cbc.ca/news/health/coronavirus-treatments-1.5460298,12502,C0137E5DAAE4086D835E6002413BF4AD
